トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,1876345,4.82,164142,0:13:00,35572.4892
関連動画,1047590,3.69,66299,0:14:43,16266.7113
ブラウジング機能,709506,5.94,56650,0:08:41,8199.6475
終了画面,,,16425,0:19:37,5374.4862
チャンネル ページ,74829,9.75,9574,0:15:37,2494.2114
直接入力または不明,,,8006,0:15:05,2012.8038
その他の YouTube 機能,,,3568,0:12:08,721.9187
YouTube 検索,35903,5.93,2601,0:08:36,372.9356
外部,,,613,0:05:09,52.6811
再生リスト,8517,2.91,379,0:11:28,72.4502
通知,,,24,0:09:07,3.6505
ショート フィード,,,1,0:20:10,0.3363
音声のページ,,,1,0:28:15,0.4709
関連のショート動画,,,1,0:11:08,0.1856
