トラフィック ソース,視聴回数,総再生時間（単位: 時間）,平均視聴時間,インプレッション数,インプレッションのクリック率 (%)
合計,1004118,94819.1151,0:05:39,12672309,6.09
ブラウジング機能,745754,62040.783,0:04:59,8200797,7.31
関連動画,229111,29545.8745,0:07:44,4234355,3.84
チャンネル ページ,6156,967.7313,0:09:25,140507,3.18
YouTube 検索,5576,590.7319,0:06:21,72735,6.22
再生リスト,802,105.1718,0:07:52,23915,2.05
直接入力または不明,6420,390.8006,0:03:39,,
その他の YouTube 機能,6631,926.7132,0:08:23,,
外部,2281,95.8546,0:02:31,,
動画カードとアノテーション,22,1.529,0:04:10,,
通知,68,6.8208,0:06:01,,
終了画面,547,86.66,0:09:30,,
ハッシュタグのページ,1,0.011,0:00:39,,
音声のページ,1,0,0:00:00,,
関連のショート動画,748,60.4334,0:04:50,,
